ID,linear activation function,rectified linear unit,sigmoid,gaussian error linear unit,softmax,hyperbolic tangent function,softsign function,exponential linear unit,leaky rectified linear unit
100250019,0,1,0,0,1,0,0,0,0
100250026,0,0,1,0,1,0,0,0,0
100250061,0,0,1,0,1,0,0,0,0
100312001,0,0,1,0,0,0,0,0,0
100768001,0,0,0,0,0,1,0,0,0
100888001,0,0,1,0,0,0,0,0,0
1001253001,0,0,0,0,0,1,0,0,0
1001315001,0,0,1,0,0,0,0,0,0
1001395001,0,0,1,0,0,0,0,0,0
1002032001,0,0,0,0,0,1,0,0,0
1003863001,0,0,1,0,0,0,0,0,0
1004293001,0,0,1,0,0,0,0,0,0
1005212001,0,0,0,0,1,0,0,0,0
1005317001,0,0,1,0,0,0,0,0,0
1005327001,0,0,1,0,0,0,0,0,0
1005717001,0,0,0,0,0,1,0,0,0
1006685001,0,0,0,0,0,1,0,0,0
1007075001,0,0,1,0,0,0,0,0,0
1007095001,0,0,1,0,0,0,0,0,0
1007344001,0,0,1,0,0,0,0,0,0
1007635001,0,0,0,0,0,1,0,0,0
1007957001,0,0,0,0,0,1,0,0,0
1007996001,0,0,0,0,0,1,0,0,0
1008024001,0,0,1,0,0,0,0,0,0
1008121001,0,0,0,0,0,1,0,0,0
1008150001,0,0,0,0,0,1,0,0,0
1008171001,0,0,1,0,0,0,0,0,0
1008483001,0,0,0,0,0,1,0,0,0
1008772001,0,0,0,0,0,1,0,0,0
1008825001,0,0,1,0,0,0,0,0,0
1009477001,0,0,0,0,0,1,0,0,0
1009610001,0,0,1,0,0,0,0,0,0
1009716001,0,0,1,0,0,0,0,0,0
1009735001,0,0,1,0,0,0,0,0,0
1009768001,0,0,1,0,0,0,0,0,0
1009922001,0,0,1,0,0,0,0,0,0
10010031001,0,0,0,0,1,0,0,0,0
10010093001,0,1,0,0,1,0,0,0,0
10010213001,0,0,1,0,0,0,0,0,0
10010224001,0,0,1,0,0,0,0,0,0
10010244001,0,0,1,0,0,0,0,0,0
10010281001,0,0,1,0,0,0,0,0,0
10010292001,0,0,0,0,0,0,0,1,0
10010308001,0,0,1,0,0,0,0,0,0
10010311001,0,0,0,0,0,1,0,0,0
10010337001,0,0,1,0,0,0,0,0,0
10010338001,0,0,1,0,0,0,0,0,0
10010409001,0,0,0,0,1,0,0,0,0
10010430001,0,0,1,0,0,0,0,0,0
10010435001,0,0,1,0,0,0,0,0,0
10010555001,0,1,0,0,0,0,0,0,0
10010602001,0,1,1,0,0,0,0,0,0
10010667001,0,1,1,0,0,1,0,0,0
10010798001,0,0,1,0,1,0,0,0,0
10010980001,0,1,1,0,1,1,0,0,0
10011127001,0,0,0,0,0,1,0,0,0
10011137001,0,1,0,0,0,1,0,0,0
