The,O
experimental,O
results,O
suggest,O
that,O
artificial,O
neural,B-DeepLearning
networks,I-DeepLearning
constitute,O
a,O
promising,O
alternative,O
to,O
deal,O
with,O
hierarchical,O
multilabel,O
classification,O
problems,O
.,O
The,O
proposed,O
method,O
,,O
named,O
here,O
HMC-LMLP,O
Hierarchical,O
Multilabel,O
Classification,O
with,O
Local,O
Multi-Layer,B-DeepLearning
Perceptron,I-DeepLearning
,,O
incrementally,O
trains,O
a,O
local,O
MLP,B-DeepLearning
network,O
for,O
each,O
hierarchical,O
level,O
,,O
using,O
the,O
back-propagation,B-DeepLearning
algorithm,O
.,O
First,O
,,O
a,O
MLP,B-DeepLearning
network,O
is,O
trained,O
for,O
the,O
first,O
hierarchical,O
level,O
.,O
This,O
network,O
uses,O
one,O
input,B-DeepLearning
layer,I-DeepLearning
,,O
one,O
hidden,B-DeepLearning
layer,I-DeepLearning
and,O
one,O
output,B-DeepLearning
layer,I-DeepLearning
classes,O
.,O
After,O
training,O
this,O
network,O
,,O
a,O
new,O
network,O
with,O
one,O
hidden,B-DeepLearning
layer,I-DeepLearning
and,O
one,O
output,B-DeepLearning
layer,I-DeepLearning
is,O
created,O
for,O
the,O
second,O
hierarchical,O
level,O
.,O
The,O
network,O
is,O
fully,B-DeepLearning
connected,I-DeepLearning
.,O
When,O
the,O
network,O
is,O
being,O
trained,O
for,O
a,O
hierarchical,O
level,O
,,O
the,O
synaptic,O
weights,B-DeepLearning
of,O
the,O
layers,O
corresponding,O
to,O
the,O
previous,O
levels,O
are,O
not,O
adjusted,O
,,O
because,O
their,O
adjustment,O
have,O
already,O
occurred,O
in,O
the,O
earlier,O
training,O
phases,O
of,O
the,O
network,O
,,O
corresponding,O
to,O
the,O
shallower,O
levels,O
.,O
In,O
conventional,O
networks,O
the,O
output,B-DeepLearning
layer,I-DeepLearning
Figure,O
1A,O
consists,O
of,O
sigmoidal,B-DeepLearning
activities,O
for,O
H,O
,,O
E,O
and,O
C,O
only,O
for,O
position,O
i,O
.,O
Network,O
training,O
data,O
was,O
prepared,O
from,O
the,O
PDB,B-DeepLearning
version,O
of,O
August,O
1999,O
.,O
Independent,O
network,O
predictions,O
arise,O
from,O
10-fold,B-DeepLearning
cross,I-DeepLearning
validated,I-DeepLearning
training,O
and,O
testing,O
of,O
1032,O
protein,O
sequences,O
at,O
both,O
primary,O
and,O
secondary,O
network,O
layers,O
.,O
This,O
may,O
be,O
done,O
with,O
a,O
rather,O
simple,O
feedforward,O
architecture,O
that,O
uses,O
2k,O
+,O
1,O
groups,O
of,O
20,O
input,B-DeepLearning
neurons,I-DeepLearning
to,O
encode,O
2k,O
+,O
1,O
amino,O
acids,O
each,O
of,O
the,O
20,O
amino,O
acids,O
is,O
encoded,O
by,O
20,B-DeepLearning
neurons,I-DeepLearning
in,O
a,O
unary,O
manner,O
