When	O
new	O
data	O
is	O
added	O
,	O
the	O
ANN	B-DeepLearning
needs	O
to	O
be	O
retrained	B-DeepLearning
in	O
order	O
to	O
achieve	O
good	O
performance	O
.	O
The	O
set	O
of	O
selected	O
features	O
are	O
processed	O
to	O
accomplish	O
the	O
voxel	O
classification	O
by	O
means	O
of	O
a	O
Multilevel	B-DeepLearning
Artificial	I-DeepLearning
Neural	I-DeepLearning
Network	I-DeepLearning
MANN	B-DeepLearning
,	O
which	O
assures	O
various	O
computational	O
advantages	O
.	O
Then	O
we	O
discuss	O
the	O
issues	O
concerning	O
the	O
minimum	O
requirements	O
that	O
an	O
artificial	B-DeepLearning
neural	I-DeepLearning
network	I-DeepLearning
ANN	B-DeepLearning
should	O
fulfill	O
in	O
order	O
that	O
it	O
would	O
be	O
capable	O
of	O
expressing	O
the	O
categories	O
and	O
mappings	O
between	O
them	O
,	O
underlying	O
the	O
MES	O
.	O
First	O
generation	O
networks	O
studied	O
the	O
McCulloch-Pitts	O
neuron	O
,	O
or	O
perceptrons	B-DeepLearning
,	O
using	O
digital	O
inputs	O
and	O
outputs	O
,	O
usually	O
binary	O
.	O
Multi-layer	B-DeepLearning
perceptrons	I-DeepLearning
with	O
a	O
single	O
hidden	B-DeepLearning
layer	I-DeepLearning
were	O
able	O
to	O
compute	O
any	O
binary	O
function	O
.	O
Second	O
generation	O
networks	O
had	O
neurons	O
with	O
activation	B-DeepLearning
functions	I-DeepLearning
,	O
usually	O
some	O
logistic	B-DeepLearning
function	I-DeepLearning
like	O
the	O
sigmoid	B-DeepLearning
,	O
with	O
continuous	O
inputs	O
and	O
outputs	O
,	O
having	O
probabilistic	O
weights	B-DeepLearning
in	O
the	O
synapses	O
,	O
and	O
learning	O
algorithms	O
based	O
on	O
gradient	B-DeepLearning
descent.	I-DeepLearning
.	O
Third	O
generation	O
networks	O
are	O
based	O
on	O
spiking	B-DeepLearning
or	I-DeepLearning
pulsating	I-DeepLearning
neurons	I-DeepLearning
,	O
that	O
incorporate	O
recent	O
neurobiology	O
discoveries	O
,	O
modeling	O
the	O
neuron	O
as	O
a	O
dynamic	O
electrical	O
system	O
with	O
bifurcation	O
in	O
its	O
equilibrium	O
,	O
usually	O
following	O
some	O
variant	O
of	O
the	O
Hodgkin-Huxley	O
model	O
.	O
The	O
network	B-DeepLearning
was	I-DeepLearning
trained	I-DeepLearning
with	O
a	O
100-sentence	B-DeepLearning
database	I-DeepLearning
and	O
was	O
generated	O
by	O
a	O
Kohonen	O
network	O
with	O
60	B-DeepLearning
x	I-DeepLearning
60	I-DeepLearning
neurons	I-DeepLearning
and	O
a	O
decreasing	O
neighborhood	O
.	O
It	O
is	O
needed	O
for	O
instance	O
,	O
when	O
channels	O
used	O
in	O
training	B-DeepLearning
and	I-DeepLearning
testing	I-DeepLearning
have	O
different	O
lengths	O
or	O
if	O
the	O
duration	O
of	O
training	B-DeepLearning
and	I-DeepLearning
testing	I-DeepLearning
simulation	O
is	O
different	O
for	O
some	O
reason	O
.	O
This	O
gives	O
an	O
accuracy	B-DeepLearning
rate	I-DeepLearning
of	O
0627	O
.	O
The	O
accuracy	B-DeepLearning
of	O
the	O
system	O
is	O
calculated	O
as	O
the	O
total	O
number	O
of	O
correctly	O
classified	O
objects	O
1094	O
divided	O
by	O
the	O
total	O
number	O
of	O
objects	O
1627	O
.	O
Neural	B-DeepLearning
networks	I-DeepLearning
are	O
generally	O
better	O
at	O
discriminating	B-DeepLearning
between	I-DeepLearning
classes	I-DeepLearning
,	O
as	O
is	O
shown	O
here	O
.	O
The	O
whole	O
data	B-DeepLearning
set	I-DeepLearning
was	O
divided	O
into	O
different	O
parts	O
in	O
order	O
to	O
get	O
different	O
validation	O
data	B-DeepLearning
sets	I-DeepLearning
.	O
EXP-1	O
,	O
which	O
contains	B-DeepLearning
all	I-DeepLearning
data	I-DeepLearning
from	O
the	O
first	O
clinical	B-DeepLearning
experiment	I-DeepLearning
with	O
2500	B-DeepLearning
measurements	I-DeepLearning
.	O
Accuracy	B-DeepLearning
is	O
computed	O
as	O
the	O
percentage	O
of	O
cases	O
correctly	O
classified	O
.	O
If	O
yes	O
,	O
with	O
probability	O
0.76	O
this	O
is	O
classified	B-DeepLearning
as	O
a	O
cancerous	O
regions	O
,	O
otherwise	O
,	O
the	O
region	O
is	O
certainly	O
cancerous	O
.	O
Results	O
show	O
that	O
on	O
both	O
data	O
sets	O
the	O
certainty	O
for	O
the	O
correctly	O
classified	O
lesions	B-DeepLearning
is	O
higher	O
lower	O
entropy	O
than	O
for	O
the	O
incorrectly	O
classified	O
lesions	B-DeepLearning
.	O
According	O
to	O
[	O
25	O
]	O
,	O
artificial	B-DeepLearning
neural	I-DeepLearning
network	I-DeepLearning
research	O
evolved	O
